Area;Generator;Type;Capacity;Node;Dispatchable;Cb_val;Efficiency;var O&M [Eur2015/MWh];Fuel;Fuel cost [Eur2012/GJ];Emission CO2 kg/GJ;EE;Electrical capacity
DE4-S_A;GNR_CC_NGAS_BP_E-53;GBPR;986.9;2;1;1.2;0.971666667;2.3373;NATGAS;8.324130812;56.1;0.53;538.3090909
DE4-S_A;GNR_ENG_BGAS_BP_E-45;GBPR;2.62;2;1;0.82;0.998780488;3.528;BIOGAS;12.71578864;0;0.45;1.18043956
DE4-S_A;GNR_ENG_NGAS_BP_E-46;GBPR;33.1;2;1;0.9;0.971111111;2.43432;NATGAS;8.324130812;56.1;0.46;15.67894737
DE4-S_A;GNR_GT_NGAS_BP_E-37;GBPR;15.1;2;1;0.95;0.759473684;1.6317;NATGAS;8.324130812;56.1;0.37;7.356410256
DE4-S_A;GNR_ST_BGAS_BP_E-38;GBPR;106.2;2;1;0.7;0.922857143;0.305368;BIOGAS;12.71578864;0;0.38;43.72941176
DE4-S_A;GNR_ST_COAL_BP_E-40;GBPR;144.9;2;1;0.75;0.933333333;0.784;COAL;2.672923077;94.6;0.4;62.1
DE4-S_A;GNR_ST_MSW_BP_E-33;GBPR;106.2;2;1;0.295760708;1.44576687;8.02032;MUNIWASTE;-3.259066353;35;0.33;24.24042266
DE4-S_A;GNR_ST_NGAS_BP_E-38;GBPR;659.7;2;1;0.7;0.922857143;0.305368;NATGAS;8.324130812;56.1;0.38;271.6411765
DE4-W_A;GNR_CC_NGAS_BP_E-55;GBPR;3205.7;3;1;1.2;1.008333333;2.4255;NATGAS;8.324130812;56.1;0.55;1748.563636
DE4-W_A;GNR_ENG_BGAS_BP_E-45;GBPR;7.01;3;1;0.82;0.998780488;3.528;BIOGAS;12.71578864;0;0.45;3.158351648
DE4-W_A;GNR_GT_NGAS_BP_E-39;GBPR;127.2;3;1;0.95;0.800526316;1.7199;NATGAS;8.324130812;56.1;0.39;61.96923077
DE4-W_A;GNR_ST_BGAS_BP_E-38;GBPR;59.7;3;1;0.7;0.922857143;0.305368;BIOGAS;12.71578864;0;0.38;24.58235294
DE4-W_A;GNR_ST_COAL_BP_E-40;GBPR;163;3;1;0.75;0.933333333;0.784;COAL;2.672923077;94.6;0.4;69.85714286
DE4-W_A;GNR_ST_LIGN_BP_E-39;GBPR;317.4;3;1;0.75;0.91;0.7644;LIGNITE;1.014863191;111.1;0.39;136.0285714
DE4-W_A;GNR_ST_MSW_BP_E-33;GBPR;157.5;3;1;0.295760708;1.44576687;8.02032;MUNIWASTE;-3.259066353;35;0.33;35.94977937
DE4-W_A;GNR_ST_NGAS_BP_E-38;GBPR;471.7;3;1;0.7;0.922857143;0.305368;NATGAS;8.324130812;56.1;0.38;194.2294118
DE4-E_A;GNR_CC_NGAS_BP_E-53;GBPR;86.6;4;1;1.2;0.971666667;2.3373;NATGAS;8.324130812;56.1;0.53;47.23636364
DE4-E_A;GNR_ENG_BGAS_BP_E-45;GBPR;2.25;4;1;0.82;0.998780488;3.528;BIOGAS;12.71578864;0;0.45;1.013736264
DE4-E_A;GNR_ST_BGAS_BP_E-38;GBPR;52.4;4;1;0.7;0.922857143;0.305368;BIOGAS;12.71578864;0;0.38;21.57647059
DE4-E_A;GNR_ST_COAL_BP_E-40;GBPR;89;4;1;0.75;0.933333333;0.784;COAL;2.672923077;94.6;0.4;38.14285714
DE4-E_A;GNR_ST_LIGN_BP_E-39;GBPR;333.4;4;1;0.75;0.91;0.7644;LIGNITE;1.014863191;111.1;0.39;142.8857143
DE4-E_A;GNR_ST_MSW_BP_E-33;GBPR;267.2;4;1;0.295760708;1.44576687;8.02032;MUNIWASTE;-3.259066353;35;0.33;60.98908602
DE4-E_A;GNR_ST_NGAS_BP_E-38;GBPR;179.4;4;1;0.7;0.922857143;0.305368;NATGAS;8.324130812;56.1;0.38;73.87058824
DE4-N_A;GNR_CC_COAL_BP_E-49;GBPR;27;5;1;1.2;0.898333333;3.620689655;COAL;2.672923077;94.6;0.49;14.72727273
DE4-N_A;GNR_CC_NGAS_BP_E-59;GBPR;202;5;1;1.2;1.045;2.5137;NATGAS;8.324130812;56.1;0.57;110.1818182
DE4-N_A;GNR_ENG_BGAS_BP_E-45;GBPR;0.27;5;1;0.82;0.998780488;3.528;BIOGAS;12.71578864;0;0.45;0.121648352
DE4-N_A;GNR_ST_BGAS_BP_E-38;GBPR;20;5;1;0.7;0.922857143;0.305368;BIOGAS;12.71578864;0;0.38;8.235294118
DE4-N_A;GNR_ST_MSW_BP_E-33;GBPR;17;5;1;0.295760708;1.44576687;8.02032;MUNIWASTE;-3.259066353;35;0.33;3.880293646
DE4-N_A;GNR_ST_NGAS_BP_E-38;GBPR;21.5;5;1;0.7;0.922857143;0.305368;NATGAS;8.324130812;56.1;0.38;8.852941176
DK1_Large;GNR_ENG_BGAS_BP_E-36;GBPR;0.81;6;1;0.82;0.79902439;2.8224;BIOGAS;12.71578864;0;0.36;0.364945055
DK1_Large;GNR_ENG_BGAS_BP_E-39;GBPR;2.61;6;1;0.82;0.865609756;3.0576;BIOGAS;12.71578864;0;0.39;1.175934066
DK1_Large;GNR_ENG_BGAS_BP_E-40;GBPR;0.357;6;1;0.82;0.887804878;3.136;BIOGAS;12.71578864;0;0.4;0.160846154
DK1_Large;GNR_ENG_BGAS_BP_E-41;GBPR;1.48;6;1;0.82;0.91;3.2144;BIOGAS;12.71578864;0;0.41;0.666813187
DK1_Large;GNR_ENG_BGAS_BP_E-42;GBPR;1.84;6;1;0.82;0.932195122;3.2928;BIOGAS;12.71578864;0;0.42;0.829010989
DK1_Large;GNR_ENG_BGAS_BP_E-43;GBPR;3.047;6;1;0.82;0.954390244;3.3712;BIOGAS;12.71578864;0;0.43;1.372824176
DK1_Large;GNR_ENG_LIGHTOIL_BP_E-37;GBPR;32;6;1;0.9;0.781111111;1.95804;LIGHTOIL;16.60671043;74;0.37;15.15789474
DK1_Large;GNR_ENG_NGAS_BP_E-39;GBPR;3.7;6;1;0.9;0.823333333;2.06388;NATGAS;8.324130812;56.1;0.39;1.752631579
DK1_Large;GNR_ENG_NGAS_BP_E-42;GBPR;2.26;6;1;0.9;0.886666667;2.22264;NATGAS;8.324130812;56.1;0.42;1.070526316
DK1_Large;GNR_ENG_NGAS_BP_E-43;GBPR;3.04;6;1;0.9;0.907777778;2.27556;NATGAS;8.324130812;56.1;0.43;1.44
DK1_Large;GNR_ENG_NGAS_BP_E-46;GBPR;0.73;6;1;0.9;0.971111111;2.43432;NATGAS;8.324130812;56.1;0.46;0.345789474
DK1_Large;GNR_ST_STRW_BP_E-26;GBPR;31;6;1;0.444656474;0.844721049;0.2548;STRAW;7.160252815;0;0.26;9.541611415
DK1_Large;GNR_ST_WOODCHI_BP_E-23;GBPR;7.5;6;1;0.34;0.906470588;0.85652;WOODCHIPS;6.2;0;0.23;1.902985075
DK1_Large;GNR_ST_WOODCHI_BP_E-30;GBPR;92;6;1;0.34;1.182352941;1.1172;WOODCHIPS;6.2;0;0.3;23.34328358
DK1_MedSmall;GNR_ENG_NGAS_BP_E-41;GBPR;3.02;6;1;0.9;0.865555556;2.16972;NATGAS;8.324130812;56.1;0.41;1.430526316
DK1_Medium;GNR_ENG_BGAS_BP_E-41;GBPR;2.96;6;1;0.82;0.91;3.2144;BIOGAS;12.71578864;0;0.41;1.333626374
DK1_Medium;GNR_ENG_NGAS_BP_E-41;GBPR;4.3;6;1;0.9;0.865555556;2.16972;NATGAS;8.324130812;56.1;0.41;2.036842105
DK1_Medium;GNR_ENG_NGAS_BP_E-42;GBPR;6.2;6;1;0.9;0.886666667;2.22264;NATGAS;8.324130812;56.1;0.42;2.936842105
DK1_Medium;GNR_ENG_NGAS_BP_E-43;GBPR;1.42;6;1;0.9;0.907777778;2.27556;NATGAS;8.324130812;56.1;0.43;0.672631579
DK1_Medium;GNR_ENG_NGAS_BP_E-44;GBPR;4.68;6;1;0.9;0.928888889;2.32848;NATGAS;8.324130812;56.1;0.44;2.216842105
DK1_Rural;GNR_ENG_BGAS_BP_E-30;GBPR;6;6;1;0.82;0.665853659;2.352;BIOGAS;12.71578864;0;0.3;2.703296703
DK1_Rural;GNR_ENG_BGAS_BP_E-37;GBPR;0.635;6;1;0.82;0.821219512;2.9008;BIOGAS;12.71578864;0;0.37;0.286098901
DK1_Rural;GNR_ENG_BGAS_BP_E-39;GBPR;0.62;6;1;0.82;0.865609756;3.0576;BIOGAS;12.71578864;0;0.39;0.279340659
DK1_Rural;GNR_ENG_BGAS_BP_E-40;GBPR;2.1;6;1;0.82;0.887804878;3.136;BIOGAS;12.71578864;0;0.4;0.946153846
DK1_Rural;GNR_ENG_BGAS_BP_E-41;GBPR;1.18;6;1;0.82;0.91;3.2144;BIOGAS;12.71578864;0;0.41;0.531648352
DK1_Rural;GNR_ENG_BGAS_BP_E-42;GBPR;6.68;6;1;0.82;0.932195122;3.2928;BIOGAS;12.71578864;0;0.42;3.00967033
DK1_Rural;GNR_ENG_BGAS_BP_E-43;GBPR;3.04;6;1;0.82;0.954390244;3.3712;BIOGAS;12.71578864;0;0.43;1.36967033
DK1_Rural;GNR_ENG_LIGHTOIL_BP_E-37;GBPR;16;6;1;0.9;0.781111111;1.95804;LIGHTOIL;16.60671043;74;0.37;7.578947368
DK1_Rural;GNR_ENG_NGAS_BP_E-37;GBPR;7.17;6;1;0.9;0.781111111;1.95804;NATGAS;8.324130812;56.1;0.37;3.396315789
DK1_Rural;GNR_ENG_NGAS_BP_E-38;GBPR;3;6;1;0.9;0.802222222;2.01096;NATGAS;8.324130812;56.1;0.38;1.421052632
DK1_Rural;GNR_ENG_NGAS_BP_E-40;GBPR;4.62;6;1;0.9;0.844444444;2.1168;NATGAS;8.324130812;56.1;0.4;2.188421053
DK1_Rural;GNR_ENG_NGAS_BP_E-41;GBPR;14.65;6;1;0.9;0.865555556;2.16972;NATGAS;8.324130812;56.1;0.41;6.939473684
DK1_Rural;GNR_ENG_NGAS_BP_E-42;GBPR;33.902;6;1;0.9;0.886666667;2.22264;NATGAS;8.324130812;56.1;0.42;16.05884211
DK1_Rural;GNR_ENG_NGAS_BP_E-43;GBPR;15.832;6;1;0.9;0.907777778;2.27556;NATGAS;8.324130812;56.1;0.43;7.499368421
DK1_Rural;GNR_ENG_NGAS_BP_E-44;GBPR;13.16;6;1;0.9;0.928888889;2.32848;NATGAS;8.324130812;56.1;0.44;6.233684211
DK1_Rural;GNR_ENG_NGAS_BP_E-45;GBPR;5.1;6;1;0.9;0.95;2.3814;NATGAS;8.324130812;56.1;0.45;2.415789474
DK1_Rural;GNR_ENG_NGAS_BP_E-46;GBPR;1.82;6;1;0.9;0.971111111;2.43432;NATGAS;8.324130812;56.1;0.46;0.862105263
DK1_Rural;GNR_ST_WOODCHI_BP_E-17;GBPR;0.75;6;1;0.34;0.67;0.63308;WOODCHIPS;6.2;0;0.17;0.190298507
DK1_Small;GNR_ENG_NGAS_BP_E-38;GBPR;1.13;6;1;0.9;0.802222222;2.01096;NATGAS;8.324130812;56.1;0.38;0.535263158
PL_A;BIAL-1_ST_STRAW_BP;GBPR;128;9;1;0.4;0.91;0.2548;STRAW;7.160252815;0;0.26;36.57142857
PL_A;BIEL-4_ST_COAL_BP;GBPR;48;9;1;0.45;0.902222222;0.5488;COAL;2.672923077;94.6;0.28;14.89655172
PL_A;CHOR2-1_ST_COAL_BP;GBPR;272;9;1;0.6;0.906666667;0.6664;COAL;2.672923077;94.6;0.34;102
PL_A;GDAN2-1_ST_COAL_BP;GBPR;737;9;1;0.45;0.902222222;0.5488;COAL;2.672923077;94.6;0.28;228.7241379
PL_A;GNR_ST_COAL_BP_E-15;GBPR;680;9;1;0.2;0.9;0.294;COAL;2.672923077;94.6;0.15;113.3333333
PL_A;GNR_ST_FUELOIL_BP_E-15;GBPR;220;9;1;0.2;0.9;0.12054;FUELOIL;12.10029189;74;0.15;36.66666667
PL_A;GNR_ST_STRAW_BP_E-15;GBPR;82;9;1;0.2;0.9;0.147;STRAW;7.160252815;0;0.15;13.66666667
PL_A;GNR_ST_WOODWST_BP_E-53;GBPR;250;9;1;0.13;1.06;0.208595787;WOODWASTE;0.650553327;0;0.121946903;28.76106195
PL_A;GORZ-4_ST_NGAS_BP;GBPR;52;9;1;0.5;0.9;0.459;NATGAS;8.324130812;56.1;0.3;17.33333333
PL_A;JAWO2-1_ST_COAL_BP;GBPR;2171;9;1;0.5;0.9;0.588;COAL;2.672923077;94.6;0.3;723.6666667
PL_A;KARO-2_ST_COAL_BP;GBPR;198;9;1;0.5;0.9;0.588;COAL;2.672923077;94.6;0.3;66
PL_A;KATO_ST_COAL_BP;GBPR;123;9;1;0.7;0.898571429;0.7252;COAL;2.672923077;94.6;0.37;50.64705882
PL_A;KRLEG-1_ST_COAL_BP;GBPR;215;9;1;0.6;0.906666667;0.6664;COAL;2.672923077;94.6;0.34;80.625
PL_A;NOWA-1_ST_NGAS_BP;GBPR;127;9;1;1;0.9;0.6885;NATGAS;8.324130812;56.1;0.45;63.5
PL_A;RZES-2_ST_NGAS_BP;GBPR;32;9;1;1;0.9;0.6885;NATGAS;8.324130812;56.1;0.45;16
PL_A;SIEK-1_ST_COAL_BP;GBPR;312;9;1;0.45;0.902222222;0.5488;COAL;2.672923077;94.6;0.28;96.82758621
PL_A;SIER-1_ST_COAL_BP;GBPR;623;9;1;1;1;0.98;COAL;2.672923077;94.6;0.5;311.5
PL_A;SKAW-1_ST_COAL_BP;GBPR;777;9;1;0.7;0.607142857;0.49;COAL;2.672923077;94.6;0.25;319.9411765
PL_A;TYCH_ST_COAL_BP;GBPR;36;9;1;0.5;0.9;0.588;COAL;2.672923077;94.6;0.3;12
PL_A;ZABR-3_ST_COAL_BP;GBPR;10;9;1;0.26;0.920769231;0.3724;COAL;2.672923077;94.6;0.19;2.063492063
PL_A;ZIEL-1_ST_NGAS_BP;GBPR;10;9;1;1;0.9;0.6885;NATGAS;8.324130812;56.1;0.45;5
PL_A;ZIEL-2_ST_COAL_BP;GBPR;11;9;1;1;1;0.98;COAL;2.672923077;94.6;0.5;5.5
PL_A;ZIEL-3_ST_NGAS_BP;GBPR;120;9;1;1;0.9;0.6885;NATGAS;8.324130812;56.1;0.45;60
PL_A;ZIEL-4_ST_COAL_BP;GBPR;60;9;1;1;1;0.98;COAL;2.672923077;94.6;0.5;30
PL_A;GNR_ST_MSW_BP_E-15;GBPR;34;9;1;0.2;0.9;3.6456;MUNIWASTE;-3.259066353;35;0.15;5.666666667
PL_A;GNR_ST_NGAS_BP_E-15;GBPR;142;9;1;0.2;0.9;0.2295;NATGAS;8.324130812;56.1;0.15;23.66666667
PL_Rural;SZCZ-1_ST_COAL_BP;GBPR;55;9;1;0.45;0.902222222;0.5488;COAL;2.672923077;94.6;0.28;17.06896552
PL_Rural;TURO-1_ST_COAL_BP;GBPR;1362;9;1;2;0.3;0.392;COAL;2.672923077;94.6;0.2;908
